,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
145,"Jeg Skal Nok Vente",Jung,77562,https://open.spotify.com/track/2M996tCDK8dmip9HNKk6Gs
146,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,77381,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
147,"Godzilla (feat. Juice WRLD)",Eminem,77064,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
148,"Nik & Jay (feat. Benjamin Hav)",TopGunn,76312,https://open.spotify.com/track/151GbWJcajt35sN4T309vF
149,"Make It Rain","Pop Smoke",76033,https://open.spotify.com/track/4TgHt7vKCimpywaiKfl0uj
150,"Ballin' (with Roddy Ricch)",Mustard,75974,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
151,"All My Love",Rocazino,75932,https://open.spotify.com/track/49clGe0PtbYUx3vB7tyk3A
152,"Lov Mig 1 Ting",Artigeardit,75379,https://open.spotify.com/track/12oT4bb3fRMGbbgs2eGzVB
153,"Higher Love",Kygo,75126,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
154,"La Trompeta (feat. MellemFingaMuzik)",Camur,74788,https://open.spotify.com/track/0oHSxbawtdWBH9N8SqCjfq
155,"Hun Kommer Tilbage",Jung,74686,https://open.spotify.com/track/5DbD9hQ5M3pauLtbnpytgS
156,"Beautiful People (feat. Khalid)","Ed Sheeran",74587,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
157,"Ringer I Morgen",Citybois,74204,https://open.spotify.com/track/566gH3ajC9UuhLc9fm2GsO
158,"Boss Bitch","Doja Cat",74102,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
159,Scars,"Lukas Graham",72831,https://open.spotify.com/track/0HCjXEQF533z8Z9LuX28cL
160,"BACK TO BUSINESS",Branco,72747,https://open.spotify.com/track/39Bu3mloRh81RhFjGzhwIm
161,MASH,TopGunn,72611,https://open.spotify.com/track/7p3h4ZE3d44Yp1NtVUvAEa
162,"Piece Of Your Heart",MEDUZA,72601,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
163,Lie,"Lukas Graham",72580,https://open.spotify.com/track/27NaNvlmvOHqTF0VPjuRSD
164,"The Bigger Picture","Lil Baby",72348,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1
165,"Plastic (feat. Benjamin Hav)",Pind,71804,https://open.spotify.com/track/758P0zO2goHiN3NA5OW1Qe
166,"Chicago Freestyle (feat. Giveon)",Drake,70815,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
167,"Endnu (feat. Gilli, Benny Jamz & Branco)",Stepz,70806,https://open.spotify.com/track/1AwE3VLo6qlJ2xi1oS3BwE
