,Position,Track Name,Artist,Streams,URL,date,uri_x,release_date,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,uri_y
1814,15,Gutterne,Specktors,256494,https://open.spotify.com/track/4xTlom5tmNmAvQ1FCgtfyM,2020-03-06,spotify:track:4xTlom5tmNmAvQ1FCgtfyM,2020-01-31,148438,0.892,0.0851,0.756,9.05e-06,0.334,-4.274,0.0976,0.741,123.989,4,spotify:track:4xTlom5tmNmAvQ1FCgtfyM
1815,16,Se Os,Citybois,247791,https://open.spotify.com/track/4qgyniHGf79c1UUiIOY368,2020-03-06,spotify:track:4qgyniHGf79c1UUiIOY368,2020-03-06,162506,0.801,0.116,0.589,0.0,0.139,-5.284,0.112,0.638,101.105,4,spotify:track:4qgyniHGf79c1UUiIOY368
1816,17,Ben,Tessa,246756,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT,2020-03-06,spotify:track:2He7ZIvNyBo188a6hvS0zT,2019-10-11,176129,0.897,0.398,0.536,0.0,0.338,-5.612,0.308,0.71,92.984,4,spotify:track:2He7ZIvNyBo188a6hvS0zT
1817,18,BACK TO BUSINESS,Branco,241107,https://open.spotify.com/track/39Bu3mloRh81RhFjGzhwIm,2020-03-06,spotify:track:39Bu3mloRh81RhFjGzhwIm,2020-02-05,197467,0.906,0.3,0.724,2.77e-06,0.0608,-5.98,0.117,0.584,119.943,4,spotify:track:39Bu3mloRh81RhFjGzhwIm
1818,19,NAPOLI,Branco,238656,https://open.spotify.com/track/1HGSCFnYif6HrsLqZHE2Kn,2020-03-06,spotify:track:1HGSCFnYif6HrsLqZHE2Kn,2020-02-05,174289,0.825,0.181,0.579,8.28e-06,0.103,-7.493,0.0556,0.629,123.892,4,spotify:track:1HGSCFnYif6HrsLqZHE2Kn
1819,20,Someone You Loved,Lewis Capaldi,221238,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020-03-06,spotify:track:7qEHsqek33rTcFNT9PFqLf,2019-05-17,182160,0.501,0.751,0.405,0.0,0.105,-5.679,0.0319,0.446,109.891,4,spotify:track:7qEHsqek33rTcFNT9PFqLf
1820,21,Winter Season (feat. Gilli),Amina,220037,https://open.spotify.com/track/4XVZxIg3UjUTZxPlC5lmnj,2020-03-06,spotify:track:4XVZxIg3UjUTZxPlC5lmnj,2020-01-24,167822,0.78,0.0209,0.584,0.0,0.107,-6.097,0.0728,0.405,109.955,4,spotify:track:4XVZxIg3UjUTZxPlC5lmnj
1821,22,Godzilla (feat. Juice WRLD),Eminem,217722,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,2020-03-06,spotify:track:7FIWs0pqAYbP91WWM0vlTQ,2020-01-17,210800,0.808,0.145,0.745,0.0,0.292,-5.26,0.342,0.829,165.995,4,spotify:track:7FIWs0pqAYbP91WWM0vlTQ
1822,23,Kærlighed (feat. Gilli & Kesi),ATYPISK,210946,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw,2020-03-06,spotify:track:2xeiAqqHWYXQMWk6s2aQdw,2019-11-14,173182,0.903,0.013,0.686,0.0,0.0484,-5.065,0.114,0.686,114.98,4,spotify:track:2xeiAqqHWYXQMWk6s2aQdw
1823,24,London Town,Branco,209371,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ,2020-03-06,spotify:track:5TKuvTO4jj4trnmMnqEpoJ,2019-10-04,173933,0.857,0.419,0.541,1.36e-06,0.108,-7.272,0.283,0.565,101.913,4,spotify:track:5TKuvTO4jj4trnmMnqEpoJ
